Number,Wins,For,Against,Ratio
5043148,1478,116041,69791,1.662692897
86401273,1371,109145,65759,1.659772807
94184383,1382,112643,67982,1.656953311
235434311,1492,98979,59921,1.651824903
43577038,1378,133812,81080,1.650370005
117184419,1282,132899,80652,1.647807866
131620197,1360,100966,61313,1.64673071
83878627,1302,126616,76925,1.645966851
21698451,1353,106600,64770,1.645823684
121323968,1327,127005,77314,1.642716714
205520615,1455,125885,76694,1.641393069
179465586,1483,133380,81415,1.638273046
21951873,1424,117144,71570,1.636775185
48692244,1497,124733,76256,1.635713911
24229579,1435,111112,68082,1.632031961
211786517,1408,133241,81686,1.631136302
45463282,1382,128511,78856,1.629692097
126687302,1354,105687,64900,1.628459168
129374043,1452,136088,83576,1.628314349
120397464,1281,115894,71297,1.62551019
263585721,1494,140938,86736,1.624907766
44660829,1423,130222,80156,1.624607016
251412634,1502,99641,61436,1.621866658
175266245,1470,123216,75974,1.62181799
10959372,1490,124437,76776,1.620779931
226198828,1344,93037,57721,1.611839712
71289221,1246,140674,87308,1.611238374
44512794,1478,124181,77146,1.609688124
8362903,1303,142294,88484,1.608132544
152170462,1451,125645,78152,1.607700379
82240355,1357,108552,67561,1.606725774
164615371,1376,110840,69071,1.604725572
128960431,1261,133287,83133,1.603298329
6093017,1398,114546,71497,1.602109179
62848389,1301,142195,88860,1.600213819
194988577,1394,132207,82789,1.596915049
68867488,1568,131172,82144,1.596854305
180297775,1532,144534,90521,1.596690271
139183294,1429,119937,75218,1.594525247
155108387,1530,144452,90671,1.593144445
175799989,1568,117383,73850,1.589478673
34723755,1454,124528,78432,1.587719298
233795289,1314,101544,63977,1.587195398
139065763,1442,125967,79369,1.587105797
199997463,1529,120172,75848,1.584379285
151505317,1435,140718,88835,1.584037823
83609234,1264,118524,74983,1.580678287
75896292,1407,113815,72011,1.58052242
77364340,1374,120608,76392,1.578804063
239030780,1411,147070,93347,1.575519299
28906913,1307,147364,93551,1.575226347
202795399,1494,112218,71305,1.57377463
85481462,1404,115275,73362,1.571317576
175530389,1376,137787,87720,1.570759234
158607294,1367,128638,81896,1.570748266
146110322,1440,141708,90279,1.569667365
115629974,1330,108003,68811,1.569560099
264235917,1407,145868,92953,1.569266188
66726374,1320,134038,85601,1.565846193
62292743,1295,126361,80756,1.564725841
91338929,1253,94056,60119,1.564497081
264891570,1385,100254,64270,1.559887973
259313490,1310,104076,66722,1.559845328
174030414,1380,130673,83828,1.558822828
109989708,1312,132657,85207,1.55687913
41916904,1286,141796,91303,1.553026735
152434983,1476,106941,68928,1.55148851
111992656,1338,131633,84960,1.549352637
36602801,1344,133648,86504,1.544992139
38230185,1364,121579,78787,1.543135289
8888035,1376,116777,75830,1.539984175
100546032,1227,139018,90296,1.539580934
104827894,1233,139141,90446,1.538387546
173609966,1470,128305,83403,1.538373919
128415451,1346,115638,75258,1.536554253
122664444,1331,113825,74093,1.536244989
31396087,1254,133469,86903,1.535838809
91871435,1208,109340,71196,1.535760436
213117353,1258,126833,82910,1.529767217
20606952,1226,140013,91532,1.529661758
205248102,1380,141451,92554,1.528307799
190594034,1399,121619,79605,1.527780918
242477737,1349,133042,87219,1.525378645
33245242,1337,108827,71384,1.524529306
120646626,1256,120422,79014,1.524059028
132594069,1313,119934,78771,1.522565411
11090379,1427,152464,100178,1.521930963
237441990,1422,139718,91856,1.521054694
1414737,1383,119789,79081,1.514763344
192616918,1420,146775,96901,1.514690251
93519291,1343,114343,75527,1.513935414
112679315,1196,139623,92300,1.512708559
264634774,1329,134733,89209,1.510307256
244549917,1339,120355,79751,1.509134682
188160998,1357,141664,93877,1.509038423
19285961,1369,131276,86994,1.509023611
45329583,1472,134864,89504,1.506792992
120513225,1291,123879,82272,1.505724912
45594524,1284,141241,93964,1.5031395
47349596,1300,113888,75781,1.502856917
260510614,1327,134410,89511,1.501603155
47224787,1333,129807,86779,1.495834246
74970763,1325,116852,78240,1.493507157
30358465,1303,114953,77046,1.492004776
108612570,1194,132610,88922,1.491306988
216906004,1253,95452,64010,1.491204499
11501408,1192,140337,94157,1.490457427
220966461,1272,102641,68869,1.490380287
173336973,1415,119124,79946,1.490055788
4781724,1395,124564,83608,1.48985743
143546053,1428,128535,86706,1.482423362
149366593,1453,141192,95308,1.481428631
211524446,1310,125408,84678,1.480998606
111588432,1248,108677,73384,1.480935899
194460563,1337,111318,75276,1.478798023
247348587,1372,131869,89243,1.477639703
88504793,1363,117130,79282,1.477384526
49234651,1394,114399,77503,1.476058991
216512674,1373,135632,91959,1.47491817
123487854,1364,111675,75720,1.474841521
61763753,1243,126906,86102,1.473903045
122944071,1540,103433,70185,1.473719456
87836124,1199,133350,90520,1.473155104
197033832,1403,149022,101185,1.472767703
166118733,1458,140456,95427,1.471868549
200390625,1400,134076,91098,1.471777646
226471546,1349,145063,98584,1.471465958
41090443,1172,142911,97151,1.471019341
205381342,1319,118163,80338,1.470823272
212307632,1372,135049,91847,1.470369201
161873602,1440,140498,95663,1.4686765
245072429,1354,129263,88050,1.4680636
181081913,1419,119339,81298,1.46792049
246403827,1447,118275,80605,1.467340736
19561850,1386,116955,79718,1.467109059
238892658,1367,140357,95696,1.466696623
96833372,1250,107629,73396,1.466415063
55374666,1228,119593,81648,1.464738879
212578699,1250,136653,93380,1.463407582
79068677,1216,120498,82499,1.460599522
259714144,1316,139865,95887,1.458644029
151900441,1464,138514,95070,1.456968549
171511923,1400,158431,108778,1.456461785
200787551,1410,139887,96155,1.454807342
210612722,1352,119584,82201,1.454775489
221242456,1271,121605,83602,1.454570465
164068823,1333,143100,98557,1.451951662
126950174,1223,116465,80268,1.450951811
147314244,1383,144433,99676,1.44902484
219875231,1286,110325,76168,1.448442916
143011281,1326,142911,98690,1.448079846
172418628,1379,144309,99950,1.443811906
40958130,1271,131679,91244,1.443152426
137301976,1313,120362,83412,1.442981825
138919493,1404,144400,100112,1.442384529
202920444,1325,116718,80982,1.441283248
24098636,1219,108494,75283,1.441148732
182436466,1328,131721,91475,1.439967204
222165305,1246,116430,80885,1.439451073
148300700,1306,136808,95094,1.438660694
241695821,1341,136380,94855,1.437773444
200136200,1330,106048,73853,1.435933544
97908533,1265,120626,84013,1.435801602
189217314,1405,143008,99734,1.433894158
262648911,1338,136153,95046,1.432495844
144080689,1306,123334,86103,1.432400729
250071167,1319,135268,94456,1.432074193
264499688,1325,133326,93218,1.43026025
13468522,1432,136690,95623,1.429467806
213507936,1379,139840,97867,1.428877967
131234129,1226,110329,77252,1.428170144
163369375,1395,150825,105786,1.425755771
106455361,1489,104665,73443,1.4251188
224863871,1312,134959,94810,1.423467989
261034466,1238,129902,91272,1.423240424
164203859,1282,115202,81031,1.421702805
3551105,1383,131238,92380,1.420632171
199725007,1352,147606,103988,1.419452244
45878193,1262,140122,98761,1.418798919
98041641,1173,123635,87329,1.415738185
112961413,1216,143513,101389,1.415469134
255170435,1282,128264,90655,1.41485853
255818563,1300,121591,85974,1.414276409
187096646,1406,147050,103990,1.414078277
162003040,1403,146588,103676,1.413904857
61238990,1309,131427,93177,1.410509031
150442237,1415,139571,99123,1.408058675
218530371,1300,136797,97157,1.407999424
120119225,1103,113175,80396,1.40771929
17697783,1198,111777,79409,1.407611228
245861425,1324,136673,97127,1.407157639
257834013,1234,128272,91247,1.405766765
256331863,1293,136702,97246,1.405733912
65503926,1296,130781,93165,1.403756776
171111942,1282,145675,103797,1.403460601
244246187,1297,139928,99725,1.403138631
207557641,1228,128219,91383,1.403094667
101603835,1157,120948,86268,1.40200306
214310479,1291,136571,97413,1.401979202
191273238,1370,139141,99263,1.40174083
26728150,1132,133661,95440,1.4004715
94840285,1287,124811,89130,1.400325367
83469494,1206,116167,82973,1.40005785
243700171,1269,138421,98898,1.399633966
125491640,1249,122782,87738,1.399416444
248440828,1267,139672,99877,1.398440081
171640800,1355,152016,108772,1.39756555
174569647,1395,143553,102919,1.39481534
96304839,1176,115820,83064,1.394346528
249120303,1322,124565,89347,1.394171041
201317622,1359,146223,104986,1.392785705
182176793,1324,135267,97267,1.390677208
159819052,1377,143596,103632,1.385633781
104568316,1217,140405,101451,1.383968615
233249247,1279,144470,104408,1.383706229
247888648,1235,133175,96519,1.379780147
115220254,1151,109711,79682,1.376860521
190445226,1294,122498,88978,1.376722336
240757929,1324,127097,92336,1.376462052
126810472,1109,121415,88242,1.375932096
107296562,1215,105703,76858,1.375302506
119983949,1255,110811,80609,1.374672803
224731132,1249,134362,97769,1.374280191
115754408,1282,123951,90302,1.372627406
14153601,1115,133535,97305,1.372334412
229009316,1288,142807,104227,1.370153607
254236580,1290,142787,104249,1.369672611
192222786,1275,120921,88291,1.369573343
242754048,1304,145208,106237,1.366830765
191554221,1328,139585,102161,1.366323744
110781988,1127,75161,55034,1.365719373
46560871,1321,115763,84766,1.365677276
