Number,Wins,For,Against,Ratio,,Nonreachable,,,,,,all2000,,,,,,Reachable,,,,
55511598,366,36946,82764,0.446401817,,,,,,,,,,,,,,,,,,
99527058,207,42724,96016,0.444967505,,,,,,,,,,,,,,,,,,
30090841,294,50987,114835,0.444002264,,,,,,,,,,,,,,,,,,
156675470,194,40519,92291,0.439035226,,,,,,,,,,,,,,,,,,
125609707,197,48507,110629,0.438465502,,,,,,,,,,,,,,,,,,
14421783,356,42634,97561,0.436998391,,,,,,,,,,,,,,,,,,
257567404,263,47781,109418,0.436683178,,,,,,,,,,,,,,,,,,
123349203,293,49064,112546,0.435946191,,,,,,,,,,,,,,,,,,
165442838,232,51047,117107,0.435900501,,,,,,,,,,,,,,,,,,
88905952,219,46900,107994,0.434283386,,,,,,,,,,,,,,,,,,
130178265,292,49537,114210,0.4337361,,,,,,,,,,,,,,,,,,
86273347,201,52826,122533,0.431116516,,,,,,,,,,,,,,,,,,
128549064,233,36458,86967,0.419216484,,,,,,,,,,,,,,,,,,
22097581,237,37856,91564,0.413437596,,,,,,,,,,,,,,,,,,
122792227,277,46115,111963,0.411877138,,,,,,,,,,,,,,,,,,
223112209,228,43660,107160,0.407428145,,,,,,,,,,,,,,,,,,
107157632,199,50809,126038,0.403124455,,,,,,,,,,,,,,,,,,
263851633,393,34746,87359,0.397738069,,,,,,,,,,,,,,,,,,
231646819,155,41749,106518,0.391943146,,,,,,,,,,,,,,,,,,
218929369,117,48263,123298,0.391433762,,,,,,,,,,,,,,,,,,
259826924,248,44037,113150,0.389191339,,,,,,,,,,,,,,,,,,
106324231,347,31390,81414,0.385560223,,,,,,,,,,,,,,,,,,
139867431,145,43194,113086,0.381957095,,,,,,,,,,,,,,,,,,
219331130,200,45704,121818,0.37518265,,,,,,,,,,,,,,,,,,
135097561,221,36834,100073,0.368071308,,,,,,,,,,,,,,,,,,
73996314,215,41239,112812,0.365555083,,,,,,,,,,,,,,,,,,
89574179,246,42445,117370,0.361634148,,,,,,,,,,,,,,,,,,
232307432,161,41043,114350,0.358924355,,,,,,,,,,,,,,,,,,
70455109,274,33744,94652,0.356505938,,,,,,,,,,,,,,,,,,
51627377,200,38303,107668,0.355751012,,,,,,,,,,,,,,,,,,
83198803,141,42799,122067,0.350618922,,,,,,,,,,,,,,,,,,
89986239,201,40715,116161,0.350504903,,,,,,,,,,,,,,,,,,
230466185,190,37898,110583,0.342710905,,,,,,,,,,,,,,,,,,
22241287,251,28348,91181,0.310898104,,,,,,,,,,,,,,,,,,
223258390,127,32594,105333,0.309437688,,,,,,,,,,,,,,,,,,
225123176,201,33115,107149,0.309055614,,,,,,,,,,,,,,,,,,
30750925,173,30476,108330,0.281325579,,,,,,,,,,,,,,,,,,
51497608,165,29957,111464,0.26875942,,,,,,,,,,,,,,,,,,
95098926,120,28640,110175,0.259950079,,,,,,,,,,,,,,,,,,
5568869,215,22658,96327,0.235219617,,,,,,,,,,,,,,,,,,
217841887,188,24699,105788,0.233476387,,,,,,,,,,,,,,,,,,
58409623,93,24295,112017,0.216886723,,,,,,,,,,,,,,,,,,
159135084,106,23330,114473,0.203803517,,,,,,,,,,,,,,,,,,
162966195,93,21833,108054,0.202056379,,,,,,,,,,,,,,,,,,
100289190,167,21170,105364,0.200922516,,,,,,,,,,,,,,,,,,
80244934,154,21285,107839,0.197377572,,,,,,,,,,,,,,,,,,
158061175,120,22427,113983,0.196757411,,,,,,,,,,,,,,,,,,
256472166,87,21156,113396,0.186567427,,,,,,,,,,,,,,,,,,
,1130150,,,,,,,,,,,,,,,,,,,,,
