Number,Wins,For,Against,Ratio,,Nonreachable,,,,,,all2000,,,,,,Reachable,,,,
234341104,672,75696,83170,0.910135866,,,,,,,,,,,,,,,,,,
260632618,717,77752,85475,0.909646095,,,,,,,,,,,,,,,,,,
150844172,810,67896,74654,0.909475715,,,,,,,,,,,,,,,,,,
14010632,733,57635,63375,0.909428008,,,,,,,,,,,,,,,,,,
260368724,687,78263,86160,0.90834494,,,,,,,,,,,,,,,,,,
222558034,679,76751,84529,0.907984242,,,,,,,,,,,,,,,,,,
11892762,692,97362,107284,0.907516498,,,,,,,,,,,,,,,,,,
123078291,695,68287,75265,0.907287584,,,,,,,,,,,,,,,,,,
102921614,685,71556,78900,0.906920152,,,,,,,,,,,,,,,,,,
199584660,675,77566,85590,0.90625073,,,,,,,,,,,,,,,,,,
229276619,617,66556,73456,0.906066217,,,,,,,,,,,,,,,,,,
195394488,664,86119,95058,0.905962675,,,,,,,,,,,,,,,,,,
5433486,675,73008,80602,0.905783976,,,,,,,,,,,,,,,,,,
220825076,691,79712,88106,0.904728395,,,,,,,,,,,,,,,,,,
184704554,715,81991,90625,0.904728276,,,,,,,,,,,,,,,,,,
241564617,638,83068,91844,0.90444667,,,,,,,,,,,,,,,,,,
45060103,600,75942,84147,0.902492067,,,,,,,,,,,,,,,,,,
251567797,689,76907,85218,0.902473656,,,,,,,,,,,,,,,,,,
234613568,681,66006,73164,0.902164999,,,,,,,,,,,,,,,,,,
220682263,620,81565,90412,0.902147945,,,,,,,,,,,,,,,,,,
242883338,718,69664,77298,0.901239359,,,,,,,,,,,,,,,,,,
81982193,676,75528,83820,0.901073729,,,,,,,,,,,,,,,,,,
201726702,623,82617,91690,0.901047006,,,,,,,,,,,,,,,,,,
150708361,683,76025,84434,0.900407419,,,,,,,,,,,,,,,,,,
93657150,610,66535,73919,0.900106874,,,,,,,,,,,,,,,,,,
118234894,552,70652,78515,0.899853531,,,,,,,,,,,,,,,,,,
37563265,589,86724,96518,0.8985267,,,,,,,,,,,,,,,,,,
180692900,678,82447,91855,0.897577704,,,,,,,,,,,,,,,,,,
137443048,666,82438,91979,0.896269801,,,,,,,,,,,,,,,,,,
26328068,642,92615,103413,0.895583727,,,,,,,,,,,,,,,,,,
103348908,649,75866,84726,0.895427614,,,,,,,,,,,,,,,,,,
141420292,626,79111,88435,0.894566631,,,,,,,,,,,,,,,,,,
180159667,816,75580,84502,0.8944167,,,,,,,,,,,,,,,,,,
205789025,616,77105,86288,0.893577322,,,,,,,,,,,,,,,,,,
227006064,623,80888,90563,0.893168292,,,,,,,,,,,,,,,,,,
22891403,634,70069,78483,0.89279207,,,,,,,,,,,,,,,,,,
110511196,635,82012,91923,0.8921815,,,,,,,,,,,,,,,,,,
116275390,608,82224,92335,0.890496561,,,,,,,,,,,,,,,,,,
63520611,648,67355,75665,0.890173792,,,,,,,,,,,,,,,,,,
268252648,709,83905,94261,0.890134838,,,,,,,,,,,,,,,,,,
212168641,625,82227,92380,0.890095259,,,,,,,,,,,,,,,,,,
144213326,660,80807,90798,0.889964537,,,,,,,,,,,,,,,,,,
224196199,612,62899,70694,0.889736045,,,,,,,,,,,,,,,,,,
60166802,549,79759,89686,0.889313828,,,,,,,,,,,,,,,,,,
9847886,613,81471,91644,0.88899437,,,,,,,,,,,,,,,,,,
4912235,641,74286,83824,0.886213972,,,,,,,,,,,,,,,,,,
105374425,596,74885,84917,0.881861111,,,,,,,,,,,,,,,,,,
262370086,641,77972,88553,0.880512236,,,,,,,,,,,,,,,,,,
152834668,637,81345,92391,0.8804429,,,,,,,,,,,,,,,,,,
20748971,548,71906,81752,0.87956258,,,,,,,,,,,,,,,,,,
261692619,643,65396,74408,0.878883991,,,,,,,,,,,,,,,,,,
203892481,604,80831,92004,0.878559628,,,,,,,,,,,,,,,,,,
266754808,601,79925,91039,0.877920452,,,,,,,,,,,,,,,,,,
226334214,656,60137,68519,0.877668968,,,,,,,,,,,,,,,,,,
231136313,650,76778,87503,0.877432774,,,,,,,,,,,,,,,,,,
106191024,567,68703,78360,0.876761103,,,,,,,,,,,,,,,,,,
166389555,596,73744,84122,0.876631559,,,,,,,,,,,,,,,,,,
76150115,461,84469,96376,0.876452644,,,,,,,,,,,,,,,,,,
215526937,679,74655,85271,0.875502809,,,,,,,,,,,,,,,,,,
55776992,703,67838,77506,0.87526127,,,,,,,,,,,,,,,,,,
117053744,610,72417,82827,0.874316346,,,,,,,,,,,,,,,,,,
181646992,683,80604,92198,0.874248899,,,,,,,,,,,,,,,,,,
236500501,678,74577,85424,0.873021633,,,,,,,,,,,,,,,,,,
56957907,569,77912,89249,0.872973367,,,,,,,,,,,,,,,,,,
149514686,661,74105,84894,0.872912102,,,,,,,,,,,,,,,,,,
31132288,600,74873,85965,0.870970744,,,,,,,,,,,,,,,,,,
92145452,622,62866,72288,0.869660248,,,,,,,,,,,,,,,,,,
98842376,618,67950,78134,0.869659815,,,,,,,,,,,,,,,,,,
207828911,591,84184,96804,0.869633486,,,,,,,,,,,,,,,,,,
158193199,580,72965,83907,0.869593717,,,,,,,,,,,,,,,,,,
60434454,694,55728,64092,0.869500094,,,,,,,,,,,,,,,,,,
22492982,658,64071,73717,0.869148229,,,,,,,,,,,,,,,,,,
84792546,697,68422,78730,0.86907151,,,,,,,,,,,,,,,,,,
245598862,661,75841,87575,0.86601199,,,,,,,,,,,,,,,,,,
78547689,648,70407,81318,0.865823065,,,,,,,,,,,,,,,,,,
144898323,629,81692,94354,0.865803252,,,,,,,,,,,,,,,,,,
128693925,562,74779,86388,0.86561791,,,,,,,,,,,,,,,,,,
239843883,682,71533,82729,0.864666562,,,,,,,,,,,,,,,,,,
102524553,567,72898,84312,0.864621881,,,,,,,,,,,,,,,,,,
214167862,662,80043,92674,0.863705031,,,,,,,,,,,,,,,,,,
57755451,633,77991,90398,0.862751388,,,,,,,,,,,,,,,,,,
170031096,619,85635,99287,0.862499622,,,,,,,,,,,,,,,,,,
261301871,702,77646,90100,0.861775805,,,,,,,,,,,,,,,,,,
4084425,629,72396,84011,0.861744295,,,,,,,,,,,,,,,,,,
193921301,684,74828,86838,0.861696492,,,,,,,,,,,,,,,,,,
47478552,556,71405,82931,0.86101699,,,,,,,,,,,,,,,,,,
46291448,646,75389,87618,0.860428223,,,,,,,,,,,,,,,,,,
133270685,690,57841,67260,0.859961344,,,,,,,,,,,,,,,,,,
103479156,521,78886,91800,0.859324619,,,,,,,,,,,,,,,,,,
187366008,648,84670,98548,0.859175224,,,,,,,,,,,,,,,,,,
8079510,652,67797,78931,0.858940087,,,,,,,,,,,,,,,,,,
43715953,526,109304,127319,0.858505015,,,,,,,,,,,,,,,,,,
184834465,586,85775,99957,0.858118991,,,,,,,,,,,,,,,,,,
49489541,550,93657,109143,0.858112751,,,,,,,,,,,,,,,,,,
31669430,626,77114,89877,0.857994815,,,,,,,,,,,,,,,,,,
47094785,546,80210,93515,0.85772336,,,,,,,,,,,,,,,,,,
255560193,671,80194,93550,0.857231427,,,,,,,,,,,,,,,,,,
116810076,569,61718,72010,0.857075406,,,,,,,,,,,,,,,,,,
222693238,594,78512,91629,0.856846632,,,,,,,,,,,,,,,,,,
230198001,756,58095,67869,0.85598727,,,,,,,,,,,,,,,,,,
57888525,601,66451,77660,0.855665722,,,,,,,,,,,,,,,,,,
160230489,614,73883,86513,0.85401038,,,,,,,,,,,,,,,,,,
190997039,655,82266,96465,0.852806717,,,,,,,,,,,,,,,,,,
18221863,719,77824,91321,0.85220267,,,,,,,,,,,,,,,,,,
